"","organisation_name.x","organisation_id.x","organisation_abbr.x","organisation_name.y","organisation_id.y","organisation_abbr.y"
"19","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Austrian Science Fund (FWF), Austria",154,"FWF"
"20","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Action on Hearing Loss",21,"AOHL"
"211","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","The Academy of Medical Sciences",2741,"TAOMS"
"221","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Parkinson's Disease UK",2290,"PDU"
"23","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Breast Cancer Now",307,"BCN"
"24","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Arthritis Research UK",115,"ARU"
"25","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","National Centre for the Replacement, Refinement and Reduction of Animals in Research (NC3Rs), London, UK",1975,"NC3Rs"
"26","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","World Health Organization",3252,"WHO"
"27","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","National Institute for Health Research",2003,"NIFHR"
"28","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Myrovlytis Trust",1924,"MT"
"29","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Diabetes UK",757,"DU"
"30","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","The British Heart Foundation",2747,"TBHF"
"311","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","The European Research Council",2772,"TERC"
"321","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Alzheimers Society",67,"AS"
"33","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","The Wellcome Trust",2854,"TWT"
"34","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Biotechnology and Biological Sciences Research Council",278,"BABSRC"
"35","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Marie Curie",1752,"MC"
"112","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Arcadia",3441,"A"
"212","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Plazi",3378,"Plazi"
"42","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Pensoft Publishers",2305,"Pensoft"
"43","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Naturalis Biodiversity Center",2094,"Naturalis"
"62","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","University of Tartu, Estonia",3132,"TU"
"82","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","LifeWatch ERIC",1717,"LE"
"92","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Consortium of European Taxonomic Facilities",3380,"COETF"
"101","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Meise Botanic Garden",3379,"MBG"
"114","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"142","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN","Stichting TDWG Europe",3385,"TDWG"
"115","Plazi",3378,"Plazi","Arcadia",3441,"A"
"39","Plazi",3378,"Plazi","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"44","Plazi",3378,"Plazi","Pensoft Publishers",2305,"Pensoft"
"45","Plazi",3378,"Plazi","Naturalis Biodiversity Center",2094,"Naturalis"
"53","Plazi",3378,"Plazi","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"63","Plazi",3378,"Plazi","University of Tartu, Estonia",3132,"TU"
"73","Plazi",3378,"Plazi","Global Biodiversity Information Facility",1166,"GBIF"
"83","Plazi",3378,"Plazi","LifeWatch ERIC",1717,"LE"
"93","Plazi",3378,"Plazi","Consortium of European Taxonomic Facilities",3380,"COETF"
"102","Plazi",3378,"Plazi","Meise Botanic Garden",3379,"MBG"
"117","Plazi",3378,"Plazi","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"123","Plazi",3378,"Plazi","Swiss Institute of Bioinformatics",2682,"SIOB"
"133","Plazi",3378,"Plazi","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"143","Plazi",3378,"Plazi","Stichting TDWG Europe",3385,"TDWG"
"119","Pensoft Publishers",2305,"Pensoft","Vizzuality",3195,"V"
"217","Pensoft Publishers",2305,"Pensoft","Natural History Museum",2093,"NHM"
"312","Pensoft Publishers",2305,"Pensoft","Encyclopedia of Life",860,"EOL"
"46","Pensoft Publishers",2305,"Pensoft","EU FP7 ViBRANT",892,"EFV"
"54","Pensoft Publishers",2305,"Pensoft","Royal Botanic Gardens, Kew",2461,"RBGK"
"64","Pensoft Publishers",2305,"Pensoft","The Biodiversity Heritage Library",2745,"TBHL"
"74","Pensoft Publishers",2305,"Pensoft","Biodiversity Virtual e-Laboratory, Seventh Framework Programme",281,"BVLSFP"
"120","Pensoft Publishers",2305,"Pensoft","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"218","Pensoft Publishers",2305,"Pensoft","Plazi",3378,"Plazi"
"47","Pensoft Publishers",2305,"Pensoft","Naturalis Biodiversity Center",2094,"Naturalis"
"55","Pensoft Publishers",2305,"Pensoft","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"65","Pensoft Publishers",2305,"Pensoft","University of Tartu, Estonia",3132,"TU"
"75","Pensoft Publishers",2305,"Pensoft","Global Biodiversity Information Facility",1166,"GBIF"
"85","Pensoft Publishers",2305,"Pensoft","LifeWatch ERIC",1717,"LE"
"94","Pensoft Publishers",2305,"Pensoft","Consortium of European Taxonomic Facilities",3380,"COETF"
"103","Pensoft Publishers",2305,"Pensoft","Meise Botanic Garden",3379,"MBG"
"1110","Pensoft Publishers",2305,"Pensoft","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"124","Pensoft Publishers",2305,"Pensoft","Swiss Institute of Bioinformatics",2682,"SIOB"
"134","Pensoft Publishers",2305,"Pensoft","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"144","Pensoft Publishers",2305,"Pensoft","Stichting TDWG Europe",3385,"TDWG"
"125","Pensoft Publishers",2305,"Pensoft","Arcadia",3441,"A"
"220","Naturalis Biodiversity Center",2094,"Naturalis","National Science Foundation",2071,"NSF"
"315","Naturalis Biodiversity Center",2094,"Naturalis","Cyberinfrastructure for Phylogenetic Research",628,"CFPR"
"128","Naturalis Biodiversity Center",2094,"Naturalis","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"222","Naturalis Biodiversity Center",2094,"Naturalis","Plazi",3378,"Plazi"
"316","Naturalis Biodiversity Center",2094,"Naturalis","Pensoft Publishers",2305,"Pensoft"
"56","Naturalis Biodiversity Center",2094,"Naturalis","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"66","Naturalis Biodiversity Center",2094,"Naturalis","University of Tartu, Estonia",3132,"TU"
"76","Naturalis Biodiversity Center",2094,"Naturalis","Global Biodiversity Information Facility",1166,"GBIF"
"86","Naturalis Biodiversity Center",2094,"Naturalis","LifeWatch ERIC",1717,"LE"
"95","Naturalis Biodiversity Center",2094,"Naturalis","Consortium of European Taxonomic Facilities",3380,"COETF"
"104","Naturalis Biodiversity Center",2094,"Naturalis","Meise Botanic Garden",3379,"MBG"
"1111","Naturalis Biodiversity Center",2094,"Naturalis","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"129","Naturalis Biodiversity Center",2094,"Naturalis","Swiss Institute of Bioinformatics",2682,"SIOB"
"135","Naturalis Biodiversity Center",2094,"Naturalis","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"145","Naturalis Biodiversity Center",2094,"Naturalis","Stichting TDWG Europe",3385,"TDWG"
"130","Naturalis Biodiversity Center",2094,"Naturalis","European Union (EU)",960,"EU"
"136","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"224","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Swiss National Science Foundation",2684,"SNSF"
"410","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","TDWG Consortium",2712,"TC"
"57","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Swiss Institute of Bioinformatics",2682,"SIOB"
"67","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"77","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","India Alliance DBT Wellcome",1325,"IADW"
"87","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Medical Research Council",1812,"MRC"
"96","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","MS Society",1908,"MS"
"105","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Worldwide Cancer Research",3259,"WCR"
"1112","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Global Biodiversity Information Facility",1166,"GBIF"
"1210","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Cancer Research UK Manchester Institute",368,"CRUMI"
"137","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","The Dunhill Medical Trust",2766,"TDMT"
"146","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Telethon Foundation",2727,"TF"
"152","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Blood Cancer UK",287,"BCU"
"162","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Chief Scientist Office",503,"CSO"
"172","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Motor Neuron Disease Association",1899,"MNDA"
"181","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Prostate Cancer UK",2373,"PCU"
"191","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Austrian Science Fund (FWF), Austria",154,"FWF"
"201","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Action on Hearing Loss",21,"AOHL"
"2110","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","The Academy of Medical Sciences",2741,"TAOMS"
"225","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Parkinson's Disease UK",2290,"PDU"
"231","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Breast Cancer Now",307,"BCN"
"241","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Arthritis Research UK",115,"ARU"
"251","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","National Centre for the Replacement, Refinement and Reduction of Animals in Research (NC3Rs), London, UK",1975,"NC3Rs"
"261","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","World Health Organization",3252,"WHO"
"271","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","National Institute for Health Research",2003,"NIFHR"
"281","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Myrovlytis Trust",1924,"MT"
"291","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Diabetes UK",757,"DU"
"301","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","The British Heart Foundation",2747,"TBHF"
"319","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","The European Research Council",2772,"TERC"
"322","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Alzheimers Society",67,"AS"
"331","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","The Wellcome Trust",2854,"TWT"
"341","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Biotechnology and Biological Sciences Research Council",278,"BABSRC"
"351","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Marie Curie",1752,"MC"
"226","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Plazi",3378,"Plazi"
"320","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Pensoft Publishers",2305,"Pensoft"
"411","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Naturalis Biodiversity Center",2094,"Naturalis"
"68","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","University of Tartu, Estonia",3132,"TU"
"88","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","LifeWatch ERIC",1717,"LE"
"97","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Consortium of European Taxonomic Facilities",3380,"COETF"
"106","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Meise Botanic Garden",3379,"MBG"
"1113","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"147","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Stichting TDWG Europe",3385,"TDWG"
"228","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Biodiversity Institute of Ontario, University of Guelph, Guelph, ON, Canada",229,"BIOOUOGGOC"
"412","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","International Barcode of Life",3476,"IBOL"
"59","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Government of Ontario",3478,"GOO"
"69","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Canada First Research Excellence Fund",3477,"CFREF"
"79","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Canada Foundation for Innovation",354,"CFFI"
"89","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","Natural Sciences and Engineering Research Council of Canada",2101,"NSAERCOC"
"150","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000","European Union (EU)",960,"EU"
"154","University of Tartu, Estonia",3132,"TU","University of Tartu Natural History Museum",3502,"UOTNHM"
"232","University of Tartu, Estonia",3132,"TU","Estonian Museum of Natural History",3504,"EMONH"
"325","University of Tartu, Estonia",3132,"TU","EU BON",3503,"EB"
"413","University of Tartu, Estonia",3132,"TU","DataCite",647,"D"
"155","University of Tartu, Estonia",3132,"TU","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"233","University of Tartu, Estonia",3132,"TU","Plazi",3378,"Plazi"
"326","University of Tartu, Estonia",3132,"TU","Pensoft Publishers",2305,"Pensoft"
"414","University of Tartu, Estonia",3132,"TU","Naturalis Biodiversity Center",2094,"Naturalis"
"511","University of Tartu, Estonia",3132,"TU","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"710","University of Tartu, Estonia",3132,"TU","Global Biodiversity Information Facility",1166,"GBIF"
"810","University of Tartu, Estonia",3132,"TU","LifeWatch ERIC",1717,"LE"
"98","University of Tartu, Estonia",3132,"TU","Consortium of European Taxonomic Facilities",3380,"COETF"
"107","University of Tartu, Estonia",3132,"TU","Meise Botanic Garden",3379,"MBG"
"1114","University of Tartu, Estonia",3132,"TU","Botanic Garden and Botanical Museum Berlin-Dahlem",302,"BGABMBD"
"1212","University of Tartu, Estonia",3132,"TU","Swiss Institute of Bioinformatics",2682,"SIOB"
"1310","University of Tartu, Estonia",3132,"TU","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"1410","University of Tartu, Estonia",3132,"TU","Stichting TDWG Europe",3385,"TDWG"
"234","Global Biodiversity Information Facility",1166,"GBIF","SiB Colombia",2564,"SC"
"327","Global Biodiversity Information Facility",1166,"GBIF","Instituto Humboldt",1452,"IH"
"157","Global Biodiversity Information Facility",1166,"GBIF","Marine Environmental Data and Information Network",1761,"MEDAIN"
"235","Global Biodiversity Information Facility",1166,"GBIF","LifeWatch Belgium",1716,"LB"
"328","Global Biodiversity Information Facility",1166,"GBIF","Pan-European Species directories Infrastructure",2289,"PESDI"
"415","Global Biodiversity Information Facility",1166,"GBIF","4D4Life project, Species 2000",8,"PS"
"611","Global Biodiversity Information Facility",1166,"GBIF","EMODnet Biology",855,"EB"
"711","Global Biodiversity Information Facility",1166,"GBIF","European Marine Biological Research Centre",3338,"EMBRC"
"811","Global Biodiversity Information Facility",1166,"GBIF","The Flanders Marine Institute",2777,"TFMI"
"99","Global Biodiversity Information Facility",1166,"GBIF","Marine Biodiversity and Ecosystem Functioning EU Network of Excellence",1758,"MBAEFENOE"
"108","Global Biodiversity Information Facility",1166,"GBIF","Alfred P. Sloan Foundation",54,"ASF"
"1115","Global Biodiversity Information Facility",1166,"GBIF","Department of Fisheries and Oceans",710,"DOFAO"
"158","Global Biodiversity Information Facility",1166,"GBIF","National Collaborative Research Infrastructure Strategy",1979,"NCRIS"
"329","Global Biodiversity Information Facility",1166,"GBIF","Atlas of Living Australia, Australia",132,"AOLAA"
"159","Global Biodiversity Information Facility",1166,"GBIF","Global Biodiversity Information Facility in Spain",1167,"GBIFIS"
"237","Global Biodiversity Information Facility",1166,"GBIF","Ministerio de Asuntos Economicos y Transformacion Digital",1852,"MDAETD"
"238","Global Biodiversity Information Facility",1166,"GBIF","Canadensys, Universite de Montreal Biodiversity Centre, Montreal, QC, Canada",357,"CUDMBCMQC"
"163","Global Biodiversity Information Facility",1166,"GBIF","Government of Canada",1191,"GOC"
"164","Global Biodiversity Information Facility",1166,"GBIF","VectorBase",3180,"V"
"240","Global Biodiversity Information Facility",1166,"GBIF","College of Life Sciences, University of Kwa-Zulu Natal, Durban, South Africa",557,"COLSUOKZNDSA"
"332","Global Biodiversity Information Facility",1166,"GBIF","Imperial College London, UK",1320,"ICLU"
"416","Global Biodiversity Information Facility",1166,"GBIF","University of Tennessee",3137,"UOT"
"513","Global Biodiversity Information Facility",1166,"GBIF","University of Florida",3055,"UOF"
"612","Global Biodiversity Information Facility",1166,"GBIF","Center for Global Health and Translational Science, State University of New York Upstate Medical University, Syracuse, NY, USA",421,"CFGHATSSUONYUMUSNU"
"712","Global Biodiversity Information Facility",1166,"GBIF","Florida Medical Entomology Lab, University of Florida-IFAS, Vero Beach, FL, USA",1021,"FMELUOFIVBFU"
"812","Global Biodiversity Information Facility",1166,"GBIF","Institute of Biology, University of Neuchatel, Neuchatel, Switzerland",1404,"IOBUONNS"
"910","Global Biodiversity Information Facility",1166,"GBIF","Center for Infectious Disease Dynamics, Department of Biology, The Pennsylvania State University, University Park, PA, USA",423,"CFIDDDOBTPSUUPPU"
"109","Global Biodiversity Information Facility",1166,"GBIF","Department of Zoology, Milwaukee Public Museum, Milwaukee, WI, USA",745,"DOZMPMMWU"
"1213","Global Biodiversity Information Facility",1166,"GBIF","Centers for Disease Control and Prevention, USA",442,"CFDCAPU"
"165","Global Biodiversity Information Facility",1166,"GBIF","University of Buffalo, NY, USA",3025,"UOBNU"
"242","Global Biodiversity Information Facility",1166,"GBIF","University of Manchester, UK",3086,"UOMU"
"333","Global Biodiversity Information Facility",1166,"GBIF","University of Arizona, United States",3013,"UOAUS"
"417","Global Biodiversity Information Facility",1166,"GBIF","Cornell University, NY, USA",614,"CUNU"
"514","Global Biodiversity Information Facility",1166,"GBIF","University of California San Diego",3033,"UOCSD"
"613","Global Biodiversity Information Facility",1166,"GBIF","Department of Biological Sciences, Vanderbilt University, Nashville, Tennessee, United States of America",673,"DOBSVUNTUSOA"
"713","Global Biodiversity Information Facility",1166,"GBIF","University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois, USA",3068,"UOIAUCUCIU"
"813","Global Biodiversity Information Facility",1166,"GBIF","GBIF Norway",1094,"GN"
"1010","Global Biodiversity Information Facility",1166,"GBIF","Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research",56,"AWIHCFPAMR"
"1117","Global Biodiversity Information Facility",1166,"GBIF","Cyverse, United States",631,"CUS"
"1214","Global Biodiversity Information Facility",1166,"GBIF","Smithsonian National Museum of Natural History, Washington DC, USA",2579,"SNMONHWDU"
"1311","Global Biodiversity Information Facility",1166,"GBIF","California Academy of Sciences",338,"CAOS"
"1510","Global Biodiversity Information Facility",1166,"GBIF","University of California Berkeley, Berkeley, California, USA",3028,"UOCBBCU"
"166","Global Biodiversity Information Facility",1166,"GBIF","Gonzaga University, Spokane, Washington, USA",1188,"GUSWU"
"173","Global Biodiversity Information Facility",1166,"GBIF","Biodiversity Institute of Ontario, University of Guelph, Guelph, ON, Canada",229,"BIOOUOGGOC"
"182","Global Biodiversity Information Facility",1166,"GBIF","National Center for Ecological Analysis and Synthesis (NCEAS), Santa Barbara, CA, USA",1961,"NCEAS"
"192","Global Biodiversity Information Facility",1166,"GBIF","University of Colorado Boulder",3044,"UOCB"
"202","Global Biodiversity Information Facility",1166,"GBIF","Kansas State University, Manhattan, KS, USA",1622,"KSUMKU"
"243","Global Biodiversity Information Facility",1166,"GBIF","Community Research and Development Information Service",913,"CRADIS"
"244","Global Biodiversity Information Facility",1166,"GBIF","Species 2000 Secretariat, Naturalis Biodiversity Center",2614,"Sp2000"
"245","Global Biodiversity Information Facility",1166,"GBIF","New York Botanical Garden",2153,"NYBG"
"170","Global Biodiversity Information Facility",1166,"GBIF","European Bioinformatics Institute, Wellcome Genome Campus",908,"EBIWGC"
"246","Global Biodiversity Information Facility",1166,"GBIF","Swiss National Science Foundation",2684,"SNSF"
"418","Global Biodiversity Information Facility",1166,"GBIF","TDWG Consortium",2712,"TC"
"515","Global Biodiversity Information Facility",1166,"GBIF","Swiss Institute of Bioinformatics",2682,"SIOB"
"614","Global Biodiversity Information Facility",1166,"GBIF","European Organisation for Nuclear Research (CERN), Geneva, Switzerland",947,"CERN"
"714","Global Biodiversity Information Facility",1166,"GBIF","India Alliance DBT Wellcome",1325,"IADW"
"814","Global Biodiversity Information Facility",1166,"GBIF","Medical Research Council",1812,"MRC"
"912","Global Biodiversity Information Facility",1166,"GBIF","MS Society",1908,"MS"
"1011","Global Biodiversity Information Facility",1166,"GBIF","Worldwide Cancer Research",3259,"WCR"
"1215","Global Biodiversity Information Facility",1166,"GBIF","Cancer Research UK Manchester Institute",368,"CRUMI"
"1312","Global Biodiversity Information Facility",1166,"GBIF","The Dunhill Medical Trust",2766,"TDMT"
"1412","Global Biodiversity Information Facility",1166,"GBIF","Telethon Foundation",2727,"TF"
"1511","Global Biodiversity Information Facility",1166,"GBIF","Blood Cancer UK",287,"BCU"
"1610","Global Biodiversity Information Facility",1166,"GBIF","Chief Scientist Office",503,"CSO"
"174","Global Biodiversity Information Facility",1166,"GBIF","Motor Neuron Disease Association",1899,"MNDA"
"183","Global Biodiversity Information Facility",1166,"GBIF","Prostate Cancer UK",2373,"PCU"
"193","Global Biodiversity Information Facility",1166,"GBIF","Austrian Science Fund (FWF), Austria",154,"FWF"
"203","Global Biodiversity Information Facility",1166,"GBIF","Action on Hearing Loss",21,"AOHL"
"2111","Global Biodiversity Information Facility",1166,"GBIF","The Academy of Medical Sciences",2741,"TAOMS"
"2210","Global Biodiversity Information Facility",1166,"GBIF","Parkinson's Disease UK",2290,"PDU"
"2310","Global Biodiversity Information Facility",1166,"GBIF","Breast Cancer Now",307,"BCN"
"247","Global Biodiversity Information Facility",1166,"GBIF","Arthritis Research UK",115,"ARU"
"252","Global Biodiversity Information Facility",1166,"GBIF","National Centre for the Replacement, Refinement and Reduction of Animals in Research (NC3Rs), London, UK",1975,"NC3Rs"
